Measure,region_from,region_to,Measure_Type,value,Base_Region
tlmi_kraskov_NN-4,lateraloccipital,parsorbitalis,Bivariate,-0.004955087068941211,
di_kozachenko,lateraloccipital,parsorbitalis,Bivariate,2.5798813122923674,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsorbitalis,Bivariate,4.1694919074334866e-07,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsorbitalis,Bivariate,-0.003257439981492416,
ce_kozachenko,lateraloccipital,parsorbitalis,Bivariate,1.3927614637904742,
cce_kozachenko,lateraloccipital,parsorbitalis,Bivariate,4.406588662678436,
entropy_kozachenko,parstriangularis,parstriangularis,Univariate,1.397883050413264,parstriangularis
AIS_kraskov,parstriangularis,parstriangularis,Univariate,0.05591764692865908,parstriangularis
je_kozachenko,lateraloccipital,parstriangularis,Bivariate,2.8272346747540857,
si_kozachenko_k-1,lateraloccipital,parstriangularis,Bivariate,0.008158701106356414,
mi_kraskov_NN-4,lateraloccipital,parstriangularis,Bivariate,-0.009510932807859973,
tlmi_kraskov_NN-4,lateraloccipital,parstriangularis,Bivariate,8.909096391995774e-05,
di_kozachenko,lateraloccipital,parstriangularis,Bivariate,2.390686959631106,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parstriangularis,Bivariate,1.501995638619569e-08,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parstriangularis,Bivariate,0.006937637964789856,
ce_kozachenko,lateraloccipital,parstriangularis,Bivariate,1.41957842403987,
cce_kozachenko,lateraloccipital,parstriangularis,Bivariate,4.5181356676552085,
entropy_kozachenko,lateralorbitofrontal,lateralorbitofrontal,Univariate,1.4110338214372646,lateralorbitofrontal
AIS_kraskov,lateralorbitofrontal,lateralorbitofrontal,Univariate,0.06772567910152993,lateralorbitofrontal
je_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,2.819568344535773,
si_kozachenko_k-1,lateraloccipital,lateralorbitofrontal,Bivariate,-0.003259743047929309,
mi_kraskov_NN-4,lateraloccipital,lateralorbitofrontal,Bivariate,0.01271689305909618,
tlmi_kraskov_NN-4,lateraloccipital,lateralorbitofrontal,Bivariate,-0.003459835697668723,
di_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,2.3499117287935007,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,lateralorbitofrontal,Bivariate,0.0002495907151376724,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,lateralorbitofrontal,Bivariate,-0.0035462146661018323,
ce_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,1.410965762764159,
cce_kozachenko,lateraloccipital,lateralorbitofrontal,Bivariate,4.4935169019275545,
entropy_kozachenko,precentral,precentral,Univariate,1.3898991111677441,precentral
AIS_kraskov,precentral,precentral,Univariate,0.04649787700895125,precentral
je_kozachenko,lateraloccipital,precentral,Bivariate,2.869899737395159,
si_kozachenko_k-1,lateraloccipital,precentral,Bivariate,0.09943112582696711,
mi_kraskov_NN-4,lateraloccipital,precentral,Bivariate,0.0026558456523453344,
tlmi_kraskov_NN-4,lateraloccipital,precentral,Bivariate,0.009158363812897363,
di_kozachenko,lateraloccipital,precentral,Bivariate,2.3463459120638435,
